id,name,rarity,cond,kind,value,cost,fire_pct,gain_per_dart,gain_per_leg,gain_per_gold,gold_per_leg,board,aim_model,samples,seed,_src_hash
c01,발라트로의 조커,common,always,mult,2,4,62.30,13.53,81.15,3.381,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c02,닌자,common,always,mult,1,4,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c03,유리 대포,common,always,mult,15,4,62.30,101.44,608.64,25.360,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c04,위대한 피자,common,always,mult,8,4,62.30,30.42,182.51,7.604,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c05,금요일,common,always,mult_rand,13,4,62.30,43.89,263.32,10.972,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c06,아카로스,common,always,xmult,4,4,62.30,28.79,172.76,7.198,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c07,BiiiG,common,big,chip,16,4,18.34,4.24,25.41,1.059,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c08,천동설,common,bull,chip,20,4,1.18,0.94,5.61,0.234,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c09,양,common,col:0,mult,3,4,30.54,9.80,58.82,2.451,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c10,음,common,col:1,mult,3,4,30.58,9.44,56.62,2.359,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c11,가장자리,common,double,mult,4,4,11.79,4.95,29.73,1.239,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c12,쌍둥이,common,even,chip,14,4,30.48,6.15,36.92,1.538,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c13,외동,common,odd,chip,13,4,30.64,5.74,34.46,1.436,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c14,스파르타,common,few,mult,10,4,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c15,HOPE,common,last,mult,18,4,10.43,20.38,122.27,5.095,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c16,좌익수,common,left,mult,2,4,31.08,7.20,43.22,1.801,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c17,우익수,common,right,mult,3,4,31.22,9.48,56.90,2.371,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c18,PART I,common,pair,chip,50,4,7.67,5.51,33.07,1.378,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c19,PART II,common,pair,mult,2,4,7.67,1.63,9.78,0.408,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c29,황금우상,common,always,,0,4,62.30,0.00,0.00,0.000,1.24,base,uniform_sq,360000,20260821,b85343dcd84b
c30,윅 존,common,always,,0,4,62.30,0.00,0.00,0.000,0.12,base,uniform_sq,360000,20260821,b85343dcd84b
c31,알 낳는 거위,common,always,,0,4,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c32,1-UP,common,always,,0,4,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c33,푸른 구슬,common,always,chip,10,4,62.30,22.27,133.62,5.567,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c34,아이스그림,common,always,chip,100,4,62.30,6.52,39.09,1.629,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c35,quite my tempo,common,always,mult,0,4,62.30,129.03,774.17,32.257,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c36,연속사진,common,always,mult,1,4,62.30,11.86,71.16,2.965,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c37,진열된 수프,common,always,mult,1,4,62.30,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c38,베르툼누스,common,always,mult,2,4,62.30,13.53,81.15,3.381,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c39,2300,common,risk,chip,23,4,20.59,10.95,65.69,2.737,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c40,0023,common,risk,mult,3,4,20.59,7.16,42.95,1.790,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c41,첫 만남,common,risk1,xmult,2,4,12.48,3.16,18.99,0.791,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c42,무전기,common,sec:4;10,chip,10,4,6.05,2.56,15.37,0.640,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c43,감자 먹는 사람들,common,small,mult,2,4,15.31,0.92,5.50,0.229,4.00,base,uniform_sq,360000,20260821,b85343dcd84b
c44,어린 왕자,common,small,mult,5,4,15.31,2.29,13.76,0.573,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c45,삼미신,common,spread,chip,0,4,26.51,114.74,688.44,28.685,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c46,프리즘,common,spread,chip,100,4,26.51,38.22,229.34,9.556,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c47,ADHD,common,spread,mult,10,4,26.51,28.36,170.17,7.090,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c48,더 굿 더 베드 더 트리플,common,triple,mult,3,4,7.61,2.39,14.37,0.599,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c49,큰 파도,common,zone3,chip,60,4,15.37,11.35,68.13,2.839,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
c50,트리플 엘비스,common,zone3,mult,6,4,15.37,9.83,58.97,2.457,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
r15,교통카드,common,,,0,4,0.00,0.00,0.00,0.000,0.00,base,uniform_sq,360000,20260821,b85343dcd84b
