rec,track,name,level,add_score,add_mult,status,_note
620001,610001,싱글,1,5,,확정,가장 흔하다(41.6%). 값이 싸고 확실한 대신 배수가 없다
620002,610001,싱글,2,5,,확정,
620003,610001,싱글,3,5,,확정,
620004,610001,싱글,4,5,,확정,
620005,610001,싱글,5,5,,확정,
620006,610001,싱글,6,5,,확정,
620007,610001,싱글,7,5,,확정,
620008,610001,싱글,8,5,,확정,
620009,610002,더블,1,8,1,확정,11.8%. 배수 2에서 출발해 홀수 레벨마다 하나씩 는다
620010,610002,더블,2,8,,확정,
620011,610002,더블,3,8,1,확정,
620012,610002,더블,4,8,,확정,
620013,610002,더블,5,8,1,확정,
620014,610002,더블,6,8,,확정,
620015,610002,더블,7,8,1,확정,
620016,610002,더블,8,8,,확정,
620017,610003,트리플,1,11,1,확정,7.6%. 배수 3에서 출발. 띠가 좁아 보드 확장와 짝이다
620018,610003,트리플,2,11,,확정,
620019,610003,트리플,3,11,1,확정,
620020,610003,트리플,4,11,,확정,
620021,610003,트리플,5,11,1,확정,
620022,610003,트리플,6,11,,확정,
620023,610003,트리플,7,11,1,확정,
620024,610003,트리플,8,11,,확정,
620025,610004,불,1,40,1,확정,1.22%. 조준만으로는 못 민다 — 자석 다트나 불 보드 확장와 같이 가는 빌드 전용
620026,610004,불,2,40,1,확정,
620027,610004,불,3,40,1,확정,
620028,610004,불,4,40,1,확정,
620029,610004,불,5,40,1,확정,
620030,610004,불,6,40,1,확정,
620031,610004,불,7,40,1,확정,
620032,610004,불,8,40,1,확정,
620033,610005,보드 아웃,1,6,,확정,37.68%로 가장 잦다. 빗나감 깃발은 그대로라 실패 조건 동전가 같이 산다
620034,610005,보드 아웃,2,6,,확정,
620035,610005,보드 아웃,3,6,,확정,
620036,610005,보드 아웃,4,6,,확정,
620037,610005,보드 아웃,5,6,,확정,
620038,610005,보드 아웃,6,6,,확정,
620039,610005,보드 아웃,7,6,,확정,
620040,610005,보드 아웃,8,6,,확정,
