id,name,kind,grant_item,grant_fixture,grant_cons,interest_off,dart_gold,score,target_mul,score_mul,color,dart_id,darts_add,gold_add,item_slots,cons_slots,grant_mod,prereq,unlock_stat,unlock_v,desc,_note
base,기본 다트통,base,,,,,,std,,,cfc9bd,std,0,0,5,2,,,,,,기준선. 튜닝 표의 값을 그대로 쓴다 — 이 다트통의 효과 줄이 곧 게임의 기본값이다
p_mag,여벌 다트통,base,,,,,0,,,,479a58,std,1,,5,2,,base,,,"추가 다트 {darts_d}개로 시작하며, 남은 다트는 골드가 되지 않습니다","다트 하나를 더 주되 잔탄이 값을 잃는다. 여벌이 있으니 아껴 쓸 이유가 없다는 것이 이 다트통의 말이다 — 점수는 오르고 ""일찍 끝내 골드를 번다"" 는 길이 닫힌다"
p_rack,넓은 동전 슬롯,base,,,,,,,,,4a6fa5,std,-1,,6,2,,p_mag,,,"추가 동전 슬롯 {items_d}칸, 다트 {darts_d}개 감소된 채 시작합니다",동전 한 칸을 다트 한 발과 바꾼다. 칸이 여섯이면 칸 폭이 62 → 53 이 된다
p_adv,선금 다트통,base,,,,,,,,,d4a12a,std,,10,5,1,,p_rack,,,"추가 {gold_d}골드, 사탕 슬롯 {cons_d}칸 감소된 채 시작합니다",선금을 받고 사탕 칸 하나를 내준다. 첫 상점에서 희귀(11~14)에 손이 닿는 대신 판을 고칠 여지가 준다
p_wage,일당 다트통,base,,,,1,2,,,,c0503a,std,,,5,2,,p_adv,,,"이자를 받지 않으며, 남은 다트 1개당 {dartgold}골드를 받습니다",이자를 끄고 잔탄 골드를 두 배로. 모으는 대신 남기는 판이 된다
p_x1,저울 다트통,hidden,l01,,,,,,1.5,,7a4f9e,std,0,0,5,2,,,bulls,50,"「데칼코마니」를 들고 시작하며, 목표 점수가 크게 오릅니다","계산 방식을 직접 안 쥐고 그 방식을 쥔 동전을 쥐여 준다. 게임내용.md 가 조준에 대해 못 박은 규약을 계산 방식에도 그대로 태운 것이다 — 다트통이 직접 쥐면 런 도중에 얻거나 잃을 수 없어 처음부터 끝까지 같은 판이 된다. 이제 팔면 기본 계산으로 돌아가고 그 판단이 첫 상점에서 선다. grant_item 열을 쓰는 첫 다트통이다. 해금은 「불 50회 명중」을 그대로 뒀다 — 기획서는 「데칼코마니 해금」이라 적었는데 그 동전의 조건이 시아노타입·COPPEE 이고 그 둘이 아직 enabled=0 이라, 그대로 넣으면 이 다트통에 닿는 길이 아예 없어진다"
p_iron,무쇠 다트통,base,,,,,,,,,8a8f98,hvy,0,0,5,2,,p_wage,,,무거운 다트로 시작합니다,여섯 발이 전부 무거운 다트다. 게이지가 0.55배라 조준이 훨씬 쉬워지는 대신 배수가 하나 깎인다 — 다트 표가 이미 쥔 트레이드오프라 다트통은 종류만 바꾼다. dart_id 를 std 밖으로 쓰는 첫 다트통이다
p_mgn,자석 다트통,base,,,,,,,1.2,,7b5ea7,mag,0,0,5,2,,p_iron,,,"자석 다트로 시작하며, 목표 점수가 오릅니다",빗나감이 37.68% → 5.52% 로 떨어진다. 안전을 통째로 사는 다트통이라 대가가 목표 점수다 — 다트 표의 배수 -1 만으로는 이 이득을 못 갚는다
p_gift,선물 다트통,base,,v_roll,c_sg,,,,,,c98a3a,std,0,-4,5,2,,p_mgn,,,"사진과 사탕을 하나씩 들고 시작하며, {gold_d}골드 적게 시작합니다","발라트로 매직 덱 자리. 물건으로 주므로 팔 수도 쓸 수도 있다 — 덤 리롤은 첫 상점부터 바로 값을 하고, 싱글 강화는 아껴 뒀다 나중에 쓸 수 있다"
p_lgt,깃털 다트통,base,,,,,,,,,cfd8e8,lgt,0,0,5,2,,,best_dart_lgt,3,가벼운 다트로 시작합니다,무쇠의 정확한 반대편이다. 게이지가 1.90배라 조준이 훨씬 어려워지는 대신 배수가 셋 는다 — 무쇠가 「조준을 사고 배수를 판다」면 이쪽은 「배수를 사고 조준을 판다」다. 대가를 다트통에 따로 안 붙이는 것은 무쇠가 이미 세운 규약이다(트레이드오프는 darts.csv 가 쥔다). 자석 다트와 같이 들면 위험이 사라지므로 그 조합이 이 다트통의 목표가 된다
