wb,sheet,game_id,status,_note
100001,동전,mis,확정,빈손 = 빗나감 시 점수 +30. 스펙 확정 1호가 이미 게임에 있었다
100002,동전,msm,확정,빗나감 시 배수 +2 — 이번에 추가
100003,동전,msx,확정,직전도 빗나갔다면 배수 x2 — 이번에 추가 (조건 missp 신설)
100004,동전,,제안,다트 -1 + 명중 배수 +3. 판 시작 효과가 현재 모델 밖 — 자리만
300001,소비,c_sg,가안,
300002,소비,c_db,가안,
300003,소비,c_tr,가안,
300004,소비,c_bl,가안,
300005,소비,c_bo,가안,
300006,소비,c_pi,가안,사용 흐름 미구현
300007,소비,c_pd,가안,사용 흐름 미구현
400001,스티커,p_ex,제안,
400002,스티커,p_sc,제안,
400003,스티커,p_ml,제안,
400004,스티커,p_cd,제안,
400005,스티커,p_st,제안,
400006,스티커,p_sh,제안,
400007,스티커,p_bd,제안,
400008,스티커,p_vl,제안,
500001,다트,hvy,가안,무거운 다트 — 수치 미정이라 기존 값 유지
500002,다트,lgt,가안,날카로운 다트 = 가벼운 다트 대응
600001,영역,single,확정,areas.csv
600002,영역,double,확정,
600003,영역,triple,확정,
600004,영역,bull_o,확정,
600005,영역,bull_i,확정,
600006,영역,out,확정,
700001,제약,tgt,확정,높은 목표 — 이번에 추가 (증가율 임시 1.25 · TODO)
700002,제약,gust,확정,급가속 = 역풍
700003,제약,short,제안,제한 투척 = 단벌 (이미 있었다)
800001,런 설정,,가안,라운드 7~9 미확정 — 현행 8라운드가 범위 안이라 유지
110001,동전 후보,j001,보류,아이템/소비 생성
110002,동전 후보,j002,이식,
110003,동전 후보,j003,이식,
110004,동전 후보,j004,보류,
110005,동전 후보,j005,이식,
110006,동전 후보,j006,이식,
110007,동전 후보,j007,보류,상점 훅
110008,동전 후보,j008,이식,
110009,동전 후보,j009,이식,
110010,동전 후보,j010,이식,
110011,동전 후보,j011,보류,규칙 변경
110012,동전 후보,j012,이식,
110013,동전 후보,j013,이식,
110014,동전 후보,j014,이식,
110015,동전 후보,j015,보류,조준 속도
110016,동전 후보,j016,보류,판매가 성장
110017,동전 후보,j017,이식,
