id,name,kind,v,rarity,when,min_round,weight,desc,_note
t_gold,삯,gold,6,,now,1,1.00,골드 +{v},건너뛴 판의 보상 대신 받는다. 가장 흔하고 가장 안전하다
t_purse,두둑한 삯,gold,12,,now,3,0.70,골드 +{v},라운드 3부터. 삯의 큰 판
t_track,트랙 강화,track,1,,now,1,0.90,무작위 트랙 강화 +{v},행성 카드 한 장을 공짜로 받는 것과 같다. 어느 트랙인지는 못 고른다 — 고르고 싶으면 군것질이다
t_candy,군것질,candy,1,,now,1,0.90,무작위 사탕 {v}개,사탕 다섯은 전부 트랙 강화라 트랙 강화 뱃지와 값이 겹친다. 다른 것은 **고를 수 있다**는 점 하나 — 대신 칸을 먹는다
t_photo,한 컷,photo,1,,now,1,0.80,무작위 사진 {v}장,사탕과 같은 칸을 쓴다. 사진 아홉은 저마다 달라서 무엇이 오느냐가 곧 값이다
t_item,견본,item,1,common,now,1,0.90,무작위 일반 동전 {v}장,등급을 갈라 셋으로 나눴다(2026-09-15 기획). 상점 등급 가중치는 일반 0.60 인데 이쪽은 확정이다
t_rare,희귀 견본,item,1,uncommon,now,3,0.45,무작위 희귀 동전 {v}장,상점에서 0.35 로 뜨는 등급을 확정으로 준다. 라운드 3부터
t_epic,레어 견본,item,1,rare,now,5,0.18,무작위 레어 동전 {v}장,상점 가중치 0.05 짜리를 확정으로 준다. 라운드 5부터 · 뱃지 중 가장 귀하다
t_reroll,무료 리롤,reroll,1,,shop,1,0.90,무료 리롤 +{v}회,2회였는데 기획이 1회로 내렸다(2026-09-15)
t_wide,넓은 테이블,shop,2,,shop,2,0.70,매물 +{v}개,라운드 2부터. 자리가 넷을 넘으면 아랫줄로 흐른다
t_free,외상,free,1,,shop,3,0.50,매물 {v}개가 공짜,라운드 3부터. 비싼 것을 고를수록 이득이라 값이 플레이어 손에 있다
t_boss,현상금,boss_gold,25,,boss,2,0.55,보스 판을 넘기면 골드 +{v},**조건이 붙은 첫 뱃지다.** 보스를 못 넘기면 런이 끝나므로 0 이 된다 — 그 위험이 곧 25 의 값이다. 보스는 못 건너뛰니 반드시 같은 라운드에 결판난다
t_tally,발품,skip_gold,5,,now,3,0.50,지금껏 건너뛴 판마다 골드 +{v},이 뱃지를 준 건너뛰기까지 센다(그래서 최소 5). 앞으로가 아니라 **지금까지**라 늦게 받을수록 크다 — 한 런에 건너뛸 자리가 열여섯이라 상한이 80 이다
t_hot,많이 맞힌 트랙 강화,track_top,2,,now,4,0.35,가장 많이 맞힌 트랙 강화 +{v},"track_hits 를 읽는다. 동점이면 그중 무작위, 한 발도 안 맞혔으면 무작위 트랙 — 라운드 4부터인 것은 그 전에는 표본이 적어 사실상 무작위이기 때문이다"
t_twin,쌍둥이,copy,1,,now,4,0.30,다음 뱃지를 {v}회 더 받는다,**다음에 받는** 뱃지가 두 번 걸린다. 쌍둥이를 또 받으면 쌓인다(발라트로의 더블 태그와 같다) — 건너뛸 자리가 열여섯이라 상한이 있다
