slide,name,eff,cost,rarity
22,발라트로의 조커,배수 +2,4,일반
22,닌자,무거운 다트 1개당 배수+1,4,일반
22,유리 대포,배수 +15 · 판마다 1/2 확률로 파괴,4,일반
22,위대한 피자,배수 +8 에서 시작 · 판마다 −1 · 0이면 파괴,4,일반
22,금요일,배수 +0~13 무작위,4,일반
22,아카로스,배수 ×4 · 판마다 1/10 확률로 파괴,4,일반
22,BiiiG,15 이상 명중 시 점수 +16,4,일반
22,천동설,불 명중 시 점수 +20 · 배수 +2,4,일반
22,양,백색 칸 명중 시 배수 +3,4,일반
22,음,흑색 칸 명중 시 배수 +3,4,일반
22,가장자리,더블 명중 시 배수 +4,4,일반
22,쌍둥이,짝수 명중 시 점수 +14,4,일반
22,외동,홀수 명중 시 점수 +13,4,일반
22,스파르타,이번 판 다트가 3개 이하면 배수 +10,4,일반
22,HOPE,판 마지막 다트에 배수 +18,4,일반
22,좌익수,왼쪽 절반 명중 시 — 배수 +2,4,일반
22,우익수,오른쪽 절반 명중 시 — 배수 +3,4,일반
22,PART I,같은 숫자 2회를 맞힌 발부터 — 점수 +50,4,일반
22,PART II,같은 숫자 2회를 맞힌 발부터 — 배수 +2,4,일반
23,찰리의 초콜릿,이번 런에 사용한 사탕 1당 배수 +1,4,일반
23,8번 입구,8을 8번 맞출때마다 랜덤 아이템 1개 드랍,4,일반
23,릭의 카페,상점마다 무료 리롤 1회 추가,4,일반
23,와인,라운드 마다 판매가 +3,4,일반
23,사탕포장지,팩을 열때마다 확정적으로 사탕이 1종은 나타난다,4,일반
23,빛나는 동전,첫 동전은 2번 발동한다,4,일반
23,잡동사니,판을 시작 시 일반 동전 1개 획득,4,일반
23,엣지러너,보드 아웃시 1/77 확률로 랜덤 트랙 업그레이트,4,일반
23,숙제,지정된 트랙 맞추면 +4골드,4,일반
23,황금우상,더블·트리플·불 명중 시 1/2 확률로 골드 +2,4,일반
23,윅 존,한 발도 안 빗나가면 골드 +2,4,일반
23,알 낳는 거위,판마다 골드 +4,4,일반
23,1-UP,다트 +1,4,일반
23,푸른 구슬,남은 다트 1개당 점수 +10,4,일반
23,아이스그림,점수 +100 에서 시작 · 던질 때마다 −5,4,일반
23,quite my tempo,명중마다 배수 +1 · 빗나가면 −1,4,일반
23,연속사진,이번 런에 이 영역의 명중 1회당 배수 +1,4,일반
23,진열된 수프,보유중인 동전 판매가 합계만큼 배수 추가,4,일반
23,베르툼누스,보유 아이템 1개당 배수 +2,4,일반
24,2300,더블·트리플·불 명중 시 점수 +23,4,일반
24,0023,더블·트리플·불 명중 시 배수 +3,4,일반
24,첫 만남,판 첫 더블·트리플·불 명중 시 배수 ×2,4,일반
24,무전기,4·10번 명중 시 점수 +10 · 배수 +4,4,일반
24,감자 먹는 사람들,5 이하 명중 시 배수 +2 · 정산 때 보유 골드 6 이하면 +4,4,일반
24,어린 왕자,5 이하 명중 시 배수 +5,4,일반
24,삼미신,다른 숫자 3곳을 맞추면  점수 +15 축적,4,일반
24,프리즘,다른 숫자 3곳을 맞추면 점수 +100,4,일반
24,ADHD,다른 숫자 3곳을 맞추면 배수 +10,4,일반
24,더 굿 더 베드 더 트리플,트리플 명중 시 배수 +3,4,일반
24,큰 파도,같은 영역 종류 3회 맞추면 점수 + 60,4,일반
