id,원본,효과,확신
j001,8 Ball,8이 3장 이상 나오면 타로 카드를 만든다,높음
j007,Chaos the Clown,상점마다 무료 리롤 1회,높음
j011,Credit Card,골드를 −20 까지 마이너스로 쓸 수 있다,높음
j015,Drunkard,버리기 +1,높음
j016,Egg,라운드가 끝날 때마다 판매가 +3,높음
j018,Business Card,고난도 카드가 절반 확률로 골드 +2,높음
j019,Fortune Teller,이번 런에 쓴 타로 카드 1장당 배수 +1,높음
j022,Golden Ticket,골드 카드를 내면 골드 +4,높음
j027,Hallucination,팩을 열 때마다 절반 확률로 타로 카드를 만든다,높음
j028,Hanging Chad,첫 카드를 두 번 더 발동한다,높음
j035,Mail-In Rebate,라운드마다 지정된 숫자를 버리면 골드 +5,높음
j042,Delayed Gratification,버리기를 하나도 안 쓰면 라운드 끝에 버리기 1회당 골드 +2,중간
j043,?,못 짚음 — 손에 쥔 카드를 건드리는 장으로 보인다,낮음
j044,?,못 짚음,낮음
j045,Riff-Raff,블라인드 시작 시 흔한 조커 2장을 만든다,중간
j052,?,못 짚음 — 버린 카드를 득점에 세는 장으로 보인다,낮음
j053,Four Fingers,플러시와 스트레이트가 4장으로 성립한다,높음
j055,Superposition,에이스가 든 스트레이트를 내면 타로 카드를 만든다,중간
j057,To Do List,지정된 족보를 내면 골드 +4,높음
j064,Astronomer,행성 카드와 천체 팩이 전부 무료,높음
j065,?,못 짚음,낮음
j066,Bloodstone,하트 카드가 절반 확률로 ×배수 +1.5,높음
j069,?,못 짚음,낮음
j071,Cartomancer,블라인드 시작 시 타로 카드를 만든다,중간
j072,Castle,버릴 때마다 지정 무늬 1장당 점수 +3 · 무늬는 라운드마다 바뀐다,높음
j073,Ceremonial Dagger,블라인드 시작 시 오른쪽 조커를 부수고 그 판매가의 두 배만큼 배수를 얻는다,높음
j074,Certificate,라운드 시작 시 무작위 봉인이 붙은 카드를 손에 넣는다,중간
j075,?,못 짚음,낮음
j076,Constellation,행성 카드를 쓸 때마다 ×배수 +0.1,높음
j077,?,못 짚음 — 상점 태그를 건드리는 장으로 보인다,낮음
j078,Dusk,라운드 마지막 판에서 낸 카드를 한 번 더 발동한다,높음
j081,Flash Card,상점에서 리롤할 때마다 배수 +2,중간
j083,?,못 짚음,낮음
j084,Gift Card,라운드가 끝날 때마다 모든 조커·소비품의 판매가 +1,높음
j085,Glass Joker,유리 카드가 부서질 때마다 ×배수 +0.75,높음
